Sample Number,Name,Depth From,Depth To,X,Y,Z,Length,Al2O3,Fe,Fe (raw + gaussian),final lithology,final lithology-sel[Rich ore],final lithology-sel[Poor ore],Indicator rich ore,Mn,P,SiO2
591,Line#20,109.87,112.26,1203.00,395.00,532.76,2.39,,,,Rich ore,1,0,1.00,,,
592,Line#20,112.26,112.99,1203.00,395.00,531.20,0.73,,,,,0,0,,,,
593,Line#20,112.99,113.65,1203.00,395.00,530.50,0.66,,,,Rich ore,1,0,1.00,,,
594,Line#20,113.65,114.93,1203.00,395.00,529.53,1.28,,,,,0,0,,,,
595,Line#20,114.93,118.64,1203.00,395.00,527.04,3.71,,,,Rich ore,1,0,1.00,,,
596,Line#20,118.64,118.83,1203.00,395.00,525.09,0.19,,,,,0,0,,,,
597,Line#20,118.83,122.29,1203.00,395.00,523.26,3.46,,,,Rich ore,1,0,1.00,,,
598,Line#20,122.29,124.2,1203.00,395.00,520.58,1.91,,,,,0,0,,,,
599,Line#20,124.2,125.44,1203.00,395.00,519.00,1.24,,,,Rich ore,1,0,1.00,,,
600,Line#20,125.44,126.45,1203.00,395.00,517.88,1.01,,,,,0,0,,,,
601,Line#20,126.45,142.67,1203.00,395.00,509.26,16.22,0.21,69.02,2.63,Rich ore,1,0,1.00,0.06,0.02,0.44
602,Line#20,142.67,142.9,1203.00,395.00,501.04,0.23,,,,,0,0,,,,
603,Line#20,142.9,147.55,1203.00,395.00,498.60,4.65,,,,Rich ore,1,0,1.00,,,
604,Line#20,147.55,150.6,1203.00,395.00,494.75,3.05,,,,,0,0,,,,
605,Line#20,150.6,151.31,1203.00,395.00,492.87,0.71,,,,Rich ore,1,0,1.00,,,
606,Line#20,151.31,152.2,1203.00,395.00,492.07,0.89,,,,,0,0,,,,
607,Line#20,152.2,167.2,1203.00,395.00,484.12,15,0.17,69.17,3.24,Rich ore,1,0,1.00,0.07,0.01,0.32
608,Line#20,167.2,182.2,1203.00,395.00,469.12,15,0.14,69.13,2.91,Rich ore,1,0,1.00,0.10,0.01,0.39
609,Line#20,182.2,197.2,1203.00,395.00,454.12,15,0.11,69.10,2.74,Rich ore,1,0,1.00,0.11,0.01,0.31
610,Line#20,197.2,212.2,1203.00,395.00,439.12,15,,,,Rich ore,1,0,1.00,,,
611,Line#20,212.2,227.2,1203.00,395.00,424.12,15,1.54,66.73,0.01,Rich ore,1,0,1.00,0.36,0.02,0.48
612,Line#20,227.2,242.2,1203.00,395.00,409.12,15,0.16,68.97,2.47,Rich ore,1,0,1.00,0.20,0.01,0.37
613,Line#20,242.2,254.06,1203.00,395.00,395.69,11.86,0.55,68.38,1.42,Rich ore,1,0,1.00,0.25,0.01,0.43
614,Line#20,254.06,254.51,1203.00,395.00,389.54,0.45,,,,,0,0,,,,
615,Line#20,254.51,260.14,1203.00,395.00,386.50,5.63,,,,Rich ore,1,0,1.00,,,
616,Line#20,260.14,260.88,1203.00,395.00,383.31,0.74,,,,,0,0,,,,
617,Line#20,260.88,262.77,1203.00,395.00,382.00,1.89,,,,Rich ore,1,0,1.00,,,
618,Line#20,262.77,263.07,1203.00,395.00,380.90,0.3,,,,,0,0,,,,
619,Line#20,263.07,264.89,1203.00,395.00,379.84,1.82,,,,Rich ore,1,0,1.00,,,
620,Line#20,264.89,279.77,1203.00,395.00,371.49,14.88,,16.57,,Poor ore,0,1,0.00,0.31,0.02,
621,Line#21,0,8.05,1575.00,404.00,667.38,8.05,2.35,62.64,-1.23,Rich ore,1,0,1.00,0.08,0.33,0.23
622,Line#21,8.05,9.45,1575.00,404.00,662.65,1.4,,,,,0,0,,,,
623,Line#21,9.45,19.78,1575.00,404.00,656.78,10.33,0.81,62.98,-1.17,Rich ore,1,0,1.00,0.06,0.29,3.33
624,Line#21,19.78,21.28,1575.00,404.00,650.87,1.5,,,,,0,0,,,,
625,Line#21,21.28,39.84,1575.00,404.00,640.84,18.56,1.24,66.34,-0.19,Rich ore,1,0,1.00,0.14,0.14,0.37
626,Line#21,39.84,39.91,1575.00,404.00,631.52,0.07,,,,,0,0,,,,
627,Line#21,39.91,40.41,1575.00,404.00,631.24,0.5,,,,Rich ore,1,0,1.00,,,
628,Line#21,40.41,41.62,1575.00,404.00,630.38,1.21,,,,,0,0,,,,
629,Line#21,41.62,43.68,1575.00,404.00,628.75,2.06,,,,Rich ore,1,0,1.00,,,
630,Line#21,43.68,44.18,1575.00,404.00,627.47,0.5,,,,,0,0,,,,
631,Line#21,44.18,54.54,1575.00,404.00,622.04,10.36,1.21,66.85,0.10,Rich ore,1,0,1.00,0.12,0.07,0.46
632,Line#21,54.54,55.14,1575.00,404.00,616.56,0.6,,,,,0,0,,,,
633,Line#21,55.14,60.42,1575.00,404.00,613.62,5.28,,,,Rich ore,1,0,1.00,,,
634,Line#21,60.42,62.28,1575.00,404.00,610.05,1.86,,,,Poor ore,0,1,0.00,,,
635,Line#21,62.28,63.28,1575.00,404.00,608.62,1,,,,Rich ore,1,0,1.00,,,
636,Line#21,63.28,63.56,1575.00,404.00,607.98,0.28,,,,Poor ore,0,1,0.00,,,
637,Line#21,63.56,78.56,1575.00,404.00,600.34,15,2.10,66.36,-0.18,Rich ore,1,0,1.00,0.34,0.05,0.41
638,Line#21,78.56,89.61,1575.00,404.00,587.31,11.05,1.23,67.15,0.26,Rich ore,1,0,1.00,0.40,0.02,0.50
639,Line#21,89.61,90.71,1575.00,404.00,581.24,1.1,,,,,0,0,,,,
640,Line#21,90.71,93.84,1575.00,404.00,579.13,3.13,,,,Rich ore,1,0,1.00,,,
641,Line#21,93.84,94.44,1575.00,404.00,577.26,0.6,,,,,0,0,,,,
642,Line#21,94.44,100.61,1575.00,404.00,573.88,6.17,,,,Rich ore,1,0,1.00,,,
643,Line#21,100.61,101.58,1575.00,404.00,570.30,0.97,,,,,0,0,,,,
644,Line#21,101.58,102.28,1575.00,404.00,569.47,0.7,,,,Rich ore,1,0,1.00,,,
645,Line#21,102.28,103.46,1575.00,404.00,568.53,1.18,,,,,0,0,,,,
646,Line#21,103.46,104.48,1575.00,404.00,567.43,1.02,,,,Rich ore,1,0,1.00,,,
647,Line#21,104.48,105.2,1575.00,404.00,566.56,0.72,,,,,0,0,,,,
648,Line#21,105.2,109.04,1575.00,404.00,564.28,3.84,,,,Rich ore,1,0,1.00,,,
649,Line#21,109.04,109.31,1575.00,404.00,562.22,0.27,,,,,0,0,,,,
650,Line#21,109.31,114.97,1575.00,404.00,559.26,5.66,,,,Rich ore,1,0,1.00,,,
651,Line#21,114.97,116.25,1575.00,404.00,555.79,1.28,,,,,0,0,,,,
652,Line#21,116.25,131.25,1575.00,404.00,547.65,15,0.40,68.52,1.71,Rich ore,1,0,1.00,0.24,0.01,0.45
653,Line#21,131.25,151.82,1575.00,404.00,529.87,20.57,1.18,67.20,0.29,Rich ore,1,0,1.00,0.35,0.01,0.47
654,Line#21,151.82,152.32,1575.00,404.00,519.33,0.5,,,,,0,0,,,,
655,Line#21,152.32,164.02,1575.00,404.00,513.23,11.7,0.72,68.00,1.00,Rich ore,1,0,1.00,0.30,0.01,0.74
656,Line#21,164.02,180.98,1575.00,404.00,498.90,16.96,,,,Poor ore,0,1,0.00,,,
657,Line#22,0,15,1897.00,404.00,714.41,15,0.61,67.73,0.71,Rich ore,1,0,1.00,0.05,0.08,0.64
658,Line#22,15,25.64,1897.00,404.00,701.59,10.64,0.43,68.80,2.27,Rich ore,1,0,1.00,0.06,0.03,0.60
659,Line#22,25.64,25.94,1897.00,404.00,696.12,0.3,,,,,0,0,,,,
660,Line#22,25.94,26.7,1897.00,404.00,695.59,0.76,,,,Rich ore,1,0,1.00,,,
661,Line#22,26.7,27.3,1897.00,404.00,694.91,0.6,,,,,0,0,,,,
662,Line#22,27.3,35.37,1897.00,404.00,690.57,8.07,0.41,68.34,1.38,Rich ore,1,0,1.00,0.06,0.02,1.14
663,Line#22,35.37,35.68,1897.00,404.00,686.38,0.31,,,,,0,0,,,,
664,Line#22,35.68,35.95,1897.00,404.00,686.09,0.27,,,,Rich ore,1,0,1.00,,,
665,Line#22,35.95,36.63,1897.00,404.00,685.62,0.68,,,,,0,0,,,,
666,Line#22,36.63,38.3,1897.00,404.00,684.44,1.67,,,,Rich ore,1,0,1.00,,,
667,Line#22,38.3,39.1,1897.00,404.00,683.21,0.8,,,,,0,0,,,,
668,Line#22,39.1,39.35,1897.00,404.00,682.68,0.25,,,,Rich ore,1,0,1.00,,,
669,Line#22,39.35,39.57,1897.00,404.00,682.45,0.22,,,,,0,0,,,,
670,Line#22,39.57,45.24,1897.00,404.00,679.50,5.67,,,,Rich ore,1,0,1.00,,,
671,Line#22,45.24,47.7,1897.00,404.00,675.44,2.46,,,,Poor ore,0,1,0.00,,,
672,Line#22,47.7,56.08,1897.00,404.00,670.02,8.38,1.07,67.23,0.31,Rich ore,1,0,1.00,0.50,0.02,0.72
673,Line#22,56.08,58.14,1897.00,404.00,664.80,2.06,,,,,0,0,,,,
674,Line#22,58.14,71.02,1897.00,404.00,657.33,12.88,0.47,68.43,1.52,Rich ore,1,0,1.00,0.13,0.01,0.75
675,Line#22,71.02,72.26,1897.00,404.00,650.27,1.24,,,,,0,0,,,,
676,Line#22,72.26,83.89,1897.00,404.00,643.83,11.63,0.72,68.02,1.03,Rich ore,1,0,1.00,0.11,0.02,0.67
677,Line#22,83.89,84.42,1897.00,404.00,637.75,0.53,,,,,0,0,,,,
678,Line#22,84.42,105.69,1897.00,404.00,626.85,21.27,1.71,66.85,0.09,Rich ore,1,0,1.00,0.21,0.03,0.53
679,Line#22,105.69,106.21,1897.00,404.00,615.96,0.52,,,,,0,0,,,,
680,Line#22,106.21,121.21,1897.00,404.00,608.20,15,1.22,66.74,0.02,Rich ore,1,0,1.00,0.67,0.02,0.48
681,Line#22,121.21,136.21,1897.00,404.00,593.20,15,2.95,64.06,-0.99,Rich ore,1,0,1.00,1.28,0.03,0.47
682,Line#22,136.21,153.78,1897.00,404.00,576.91,17.57,2.51,63.33,-1.11,Rich ore,1,0,1.00,1.61,0.03,0.80
683,Line#22,153.78,161.1,1897.00,404.00,564.47,7.32,,,,Poor ore,0,1,0.00,,,
684,Line#23,0,15,1799.00,603.00,685.02,15,0.85,65.65,-0.46,Rich ore,1,0,1.00,0.09,0.25,0.34
685,Line#23,15,28.08,1799.00,603.00,670.98,13.08,0.28,67.85,0.83,Rich ore,1,0,1.00,0.14,0.03,0.43
686,Line#23,28.08,28.18,1799.00,603.00,664.39,0.1,,,,,0,0,,,,
687,Line#23,28.18,43.18,1799.00,603.00,656.84,15,0.16,67.98,0.99,Rich ore,1,0,1.00,0.37,0.02,0.52
688,Line#23,43.18,58.18,1799.00,603.00,641.84,15,0.14,68.05,1.07,Rich ore,1,0,1.00,0.29,0.01,0.60
689,Line#23,58.18,73.18,1799.00,603.00,626.84,15,0.13,68.44,1.57,Rich ore,1,0,1.00,0.18,0.02,0.55
690,Line#23,73.18,93.32,1799.00,603.00,609.27,20.14,0.21,68.35,1.39,Rich ore,1,0,1.00,0.22,0.01,0.57
691,Line#23,93.32,93.62,1799.00,603.00,599.05,0.3,,,,,0,0,,,,
692,Line#23,93.62,108.62,1799.00,603.00,591.40,15,0.47,67.94,0.92,Rich ore,1,0,1.00,0.39,0.01,0.41
693,Line#23,108.62,123.62,1799.00,603.00,576.40,15,1.03,67.83,0.81,Rich ore,1,0,1.00,0.17,0.02,0.46
694,Line#23,123.62,133.17,1799.00,603.00,564.13,9.55,2.01,66.41,-0.16,Rich ore,1,0,1.00,0.14,0.02,0.60
695,Line#23,133.17,139.02,1799.00,603.00,556.42,5.85,,,,,0,0,,,,
696,Line#23,139.02,154.02,1799.00,603.00,546.00,15,0.79,68.26,1.32,Rich ore,1,0,1.00,0.12,0.01,0.66
697,Line#23,154.02,169.02,1799.00,603.00,531.00,15,0.49,68.64,1.92,Rich ore,1,0,1.00,0.11,0.01,0.53
698,Line#23,169.02,184.02,1799.00,603.00,516.00,15,0.60,68.05,1.06,Rich ore,1,0,1.00,0.26,0.02,0.80
699,Line#23,184.02,198.57,1799.00,603.00,501.23,14.55,1.19,64.59,-0.86,Rich ore,1,0,1.00,0.71,0.02,2.22
700,Line#23,198.57,207.04,1799.00,603.00,489.72,8.47,,,,Poor ore,0,1,0.00,,,
701,Line#24,0,15,814.00,216.00,643.96,15,2.10,62.46,-1.27,Rich ore,1,0,1.00,0.10,0.29,2.68
702,Line#24,15,36.6,814.00,216.00,625.66,21.6,1.78,63.45,-1.09,Rich ore,1,0,1.00,0.07,0.19,2.03
703,Line#24,36.6,37.35,814.00,216.00,614.49,0.75,,,,,0,0,,,,
704,Line#24,37.35,37.45,814.00,216.00,614.06,0.1,,,,Rich ore,1,0,1.00,,,
705,Line#24,37.45,39.31,814.00,216.00,613.08,1.86,,,,,0,0,,,,
706,Line#24,39.31,57.3,814.00,216.00,603.16,17.99,0.32,67.96,0.94,Rich ore,1,0,1.00,0.07,0.03,0.48
707,Line#24,57.3,57.34,814.00,216.00,594.14,0.04,,,,,0,0,,,,
708,Line#24,57.34,72.34,814.00,216.00,586.62,15,0.93,67.70,0.67,Rich ore,1,0,1.00,0.07,0.04,0.43
709,Line#24,72.34,87.34,814.00,216.00,571.62,15,0.74,67.96,0.97,Rich ore,1,0,1.00,0.06,0.02,0.42
710,Line#24,87.34,96.01,814.00,216.00,559.79,8.67,0.71,67.90,0.88,Rich ore,1,0,1.00,0.07,0.03,0.33
711,Line#24,96.01,96.51,814.00,216.00,555.20,0.5,,,,,0,0,,,,
712,Line#24,96.51,111.46,814.00,216.00,547.48,14.95,0.79,67.87,0.85,Rich ore,1,0,1.00,0.06,0.03,0.40
713,Line#24,111.46,112.27,814.00,216.00,539.60,0.81,,,,,0,0,,,,
714,Line#24,112.27,114.77,814.00,216.00,537.94,2.5,,,,Rich ore,1,0,1.00,,,
715,Line#24,114.77,117.24,814.00,216.00,535.46,2.47,,,,,0,0,,,,
716,Line#24,117.24,123.09,814.00,216.00,531.30,5.85,,,,Rich ore,1,0,1.00,,,
717,Line#24,123.09,125.03,814.00,216.00,527.40,1.94,,,,,0,0,,,,
718,Line#24,125.03,133.36,814.00,216.00,522.27,8.33,0.65,67.59,0.58,Rich ore,1,0,1.00,0.05,0.02,1.02
719,Line#24,133.36,133.95,814.00,216.00,517.81,0.59,,,,,0,0,,,,
720,Line#24,133.95,148.95,814.00,216.00,510.01,15,0.99,67.79,0.77,Rich ore,1,0,1.00,0.08,0.02,0.44
721,Line#24,148.95,163.95,814.00,216.00,495.01,15,0.62,67.88,0.86,Rich ore,1,0,1.00,0.07,0.02,0.44
722,Line#24,163.95,182.59,814.00,216.00,478.19,18.64,0.93,67.90,0.89,Rich ore,1,0,1.00,0.05,0.01,0.38
723,Line#24,182.59,183.17,814.00,216.00,468.58,0.58,,,,,0,0,,,,
724,Line#24,183.17,198.17,814.00,216.00,460.79,15,1.24,67.96,0.94,Rich ore,1,0,1.00,0.09,0.01,0.26
725,Line#24,198.17,206.63,814.00,216.00,449.06,8.46,,65.63,-0.48,Rich ore,1,0,1.00,0.17,0.02,
726,Line#24,206.63,208.91,814.00,216.00,443.69,2.28,,,,Poor ore,0,1,0.00,,,
727,Line#24,208.91,223.91,814.00,216.00,435.05,15,1.37,66.30,-0.21,Rich ore,1,0,1.00,0.53,0.01,1.44
728,Line#24,223.91,240.84,814.00,216.00,419.09,16.93,1.56,64.00,-1.00,Rich ore,1,0,1.00,0.35,0.02,2.38
729,Line#24,240.84,257.38,814.00,216.00,402.35,16.54,,19.51,,Poor ore,0,1,0.00,0.72,0.01,
730,Line#25,0,15,1800.00,1173.00,739.55,15,0.83,66.54,-0.06,Rich ore,1,0,1.00,0.15,0.08,0.39
731,Line#25,15,32.17,1800.00,1173.00,723.46,17.17,0.91,67.51,0.51,Rich ore,1,0,1.00,0.28,0.05,0.40
732,Line#25,32.17,33.54,1800.00,1173.00,714.19,1.37,,,,,0,0,,,,
733,Line#25,33.54,39.8,1800.00,1173.00,710.38,6.26,,,,Rich ore,1,0,1.00,,,
734,Line#25,39.8,40.4,1800.00,1173.00,706.95,0.6,,,,,0,0,,,,
735,Line#25,40.4,44.92,1800.00,1173.00,704.39,4.52,,,,Rich ore,1,0,1.00,,,
736,Line#25,44.92,45.04,1800.00,1173.00,702.07,0.12,,,,,0,0,,,,
737,Line#25,45.04,55.66,1800.00,1173.00,696.70,10.62,1.87,65.21,-0.60,Rich ore,1,0,1.00,0.76,0.03,0.83
738,Line#25,55.66,56.13,1800.00,1173.00,691.15,0.47,,,,,0,0,,,,
739,Line#25,56.13,76.92,1800.00,1173.00,680.52,20.79,1.66,58.97,-1.77,Rich ore,1,0,1.00,4.67,0.05,1.73
740,Line#25,76.92,77.42,1800.00,1173.00,669.88,0.5,,,,,0,0,,,,
741,Line#25,77.42,77.77,1800.00,1173.00,669.45,0.35,,,,Rich ore,1,0,1.00,,,
742,Line#25,77.77,78.01,1800.00,1173.00,669.16,0.24,,,,,0,0,,,,
743,Line#25,78.01,93.02,1800.00,1173.00,661.53,15.01,1.63,43.52,-2.91,Rich ore,1,0,1.00,12.50,0.09,14.38
744,Line#25,93.02,93.16,1800.00,1173.00,653.96,0.14,,,,,0,0,,,,
745,Line#25,93.16,111.63,1800.00,1173.00,644.65,18.47,5.43,38.06,-3.24,Rich ore,1,0,1.00,9.51,0.10,11.65
746,Line#25,111.63,120.18,1800.00,1173.00,631.14,8.55,10.07,42.50,,Poor ore,0,1,0.00,0.86,0.04,15.80
747,Line#26,0,13.39,1597.00,962.00,657.04,13.39,1.09,65.18,-0.63,Rich ore,1,0,1.00,0.17,0.20,1.09
748,Line#26,13.39,14.16,1597.00,962.00,649.97,0.77,,,,,0,0,,,,
749,Line#26,14.16,29.16,1597.00,962.00,642.08,15,1.42,65.80,-0.41,Rich ore,1,0,1.00,0.37,0.17,0.85
750,Line#26,29.16,40.59,1597.00,962.00,628.87,11.43,0.75,66.82,0.07,Rich ore,1,0,1.00,0.12,0.09,0.79
751,Line#26,40.59,41.26,1597.00,962.00,622.82,0.67,,,,,0,0,,,,
752,Line#26,41.26,43.31,1597.00,962.00,621.46,2.05,,,,Rich ore,1,0,1.00,,,
753,Line#26,43.31,43.37,1597.00,962.00,620.40,0.06,,,,,0,0,,,,
754,Line#26,43.37,52.07,1597.00,962.00,616.02,8.7,0.70,66.92,0.13,Rich ore,1,0,1.00,0.07,0.10,0.89
755,Line#26,52.07,53.42,1597.00,962.00,611.00,1.35,,,,,0,0,,,,
756,Line#26,53.42,56.55,1597.00,962.00,608.75,3.13,,,,Rich ore,1,0,1.00,,,
757,Line#26,56.55,57.35,1597.00,962.00,606.79,0.8,,,,,0,0,,,,
758,Line#26,57.35,58.97,1597.00,962.00,605.58,1.62,,,,Rich ore,1,0,1.00,,,
759,Line#26,58.97,59.68,1597.00,962.00,604.41,0.71,,,,,0,0,,,,
760,Line#26,59.68,69.75,1597.00,962.00,599.02,10.07,0.55,66.87,0.10,Rich ore,1,0,1.00,0.49,0.03,0.72
761,Line#26,69.75,70.25,1597.00,962.00,593.74,0.5,,,,,0,0,,,,
762,Line#26,70.25,72.9,1597.00,962.00,592.16,2.65,,,,Rich ore,1,0,1.00,,,
763,Line#26,72.9,74.25,1597.00,962.00,590.16,1.35,,,,,0,0,,,,
764,Line#26,74.25,94.21,1597.00,962.00,579.51,19.96,0.67,67.22,0.31,Rich ore,1,0,1.00,0.51,0.03,0.96
765,Line#26,94.21,104.98,1597.00,962.00,564.14,10.77,10.60,25.10,,Poor ore,0,1,0.00,0.34,0.03,40.60
766,Line#26,104.98,122.01,1597.00,962.00,550.24,17.03,0.57,67.57,0.57,Rich ore,1,0,1.00,0.25,0.02,0.95
767,Line#26,122.01,123.36,1597.00,962.00,541.05,1.35,,,,,0,0,,,,
768,Line#26,123.36,128.23,1597.00,962.00,537.94,4.87,,,,Rich ore,1,0,1.00,,,
769,Line#26,128.23,129.2,1597.00,962.00,535.02,0.97,,,,Poor ore,0,1,0.00,,,
770,Line#27,0,11.83,808.00,5.00,700.66,11.83,0.92,66.10,-0.28,Rich ore,1,0,1.00,0.08,0.14,0.21
771,Line#27,11.83,12.05,808.00,5.00,694.63,0.22,,,,,0,0,,,,
772,Line#27,12.05,26.78,808.00,5.00,687.16,14.73,0.32,68.46,1.62,Rich ore,1,0,1.00,0.09,0.03,0.41
773,Line#27,26.78,27.77,808.00,5.00,679.30,0.99,,,,,0,0,,,,
774,Line#27,27.77,42.77,808.00,5.00,671.30,15,0.20,68.23,1.28,Rich ore,1,0,1.00,0.11,0.01,0.37
775,Line#27,42.77,63.56,808.00,5.00,653.41,20.79,0.86,67.17,0.27,Rich ore,1,0,1.00,0.37,0.02,0.33
776,Line#27,63.56,64.38,808.00,5.00,642.60,0.82,,,,,0,0,,,,
777,Line#27,64.38,65.07,808.00,5.00,641.85,0.69,,,,Rich ore,1,0,1.00,,,
778,Line#27,65.07,65.97,808.00,5.00,641.05,0.9,,,,,0,0,,,,
779,Line#27,65.97,78.7,808.00,5.00,634.24,12.73,1.35,66.81,0.07,Rich ore,1,0,1.00,0.27,0.01,0.25
780,Line#27,78.7,78.93,808.00,5.00,627.76,0.23,,,,,0,0,,,,
781,Line#27,78.93,93.02,808.00,5.00,620.60,14.09,1.48,66.13,-0.27,Rich ore,1,0,1.00,0.21,0.02,0.22
782,Line#27,93.02,93.58,808.00,5.00,613.27,0.56,,,,,0,0,,,,
783,Line#27,93.58,107.87,808.00,5.00,605.85,14.29,0.62,67.82,0.79,Rich ore,1,0,1.00,0.34,0.01,0.33
784,Line#27,107.87,108.02,808.00,5.00,598.63,0.15,,,,,0,0,,,,
785,Line#27,108.02,116.51,808.00,5.00,594.31,8.49,1.07,66.67,-0.01,Rich ore,1,0,1.00,0.57,0.02,0.53
786,Line#27,116.51,117.86,808.00,5.00,589.39,1.35,,,,Poor ore,0,1,0.00,,,
787,Line#27,117.86,127.23,808.00,5.00,584.03,9.37,0.41,67.42,0.46,Rich ore,1,0,1.00,0.64,0.01,0.99
788,Line#27,127.23,130.53,808.00,5.00,577.69,3.3,,,,Poor ore,0,1,0.00,,,
789,Line#27,130.53,138.34,808.00,5.00,572.14,7.81,0.80,63.28,-1.11,Rich ore,1,0,1.00,1.35,0.02,3.92
790,Line#27,138.34,153.34,808.00,5.00,560.73,15,,,,Poor ore,0,1,0.00,,,
791,Line#27,153.34,161.67,808.00,5.00,549.07,8.33,,,,Poor ore,0,1,0.00,,,
792,Line#28,0,15,1203.00,-214.00,794.86,15,2.41,64.33,-0.92,Rich ore,1,0,1.00,0.10,0.11,0.96
793,Line#28,15,30,1203.00,-214.00,779.86,15,0.64,68.25,1.31,Rich ore,1,0,1.00,0.13,0.02,0.49
794,Line#28,30,45,1203.00,-214.00,764.86,15,0.74,68.58,1.85,Rich ore,1,0,1.00,0.07,0.01,0.24
795,Line#28,45,60,1203.00,-214.00,749.86,15,0.52,68.77,2.16,Rich ore,1,0,1.00,0.07,0.01,0.34
796,Line#28,60,75,1203.00,-214.00,734.86,15,0.56,68.84,2.31,Rich ore,1,0,1.00,0.07,0.01,0.35
797,Line#28,75,89.71,1203.00,-214.00,720.00,14.71,0.93,68.12,1.11,Rich ore,1,0,1.00,0.19,0.02,0.28
798,Line#28,89.71,89.95,1203.00,-214.00,712.53,0.24,,,,,0,0,,,,
799,Line#28,89.95,104.95,1203.00,-214.00,704.91,15,1.10,67.71,0.68,Rich ore,1,0,1.00,0.21,0.02,0.47
800,Line#28,104.95,116.44,1203.00,-214.00,691.66,11.49,2.00,65.02,-0.70,Rich ore,1,0,1.00,0.37,0.02,1.92
801,Line#28,116.44,117.04,1203.00,-214.00,685.62,0.6,,,,,0,0,,,,
802,Line#28,117.04,131.45,1203.00,-214.00,678.12,14.41,0.44,67.82,0.80,Rich ore,1,0,1.00,0.60,0.02,0.45
803,Line#28,131.45,132.47,1203.00,-214.00,670.40,1.02,,,,,0,0,,,,
804,Line#28,132.47,137.35,1203.00,-214.00,667.45,4.88,,,,Rich ore,1,0,1.00,,,
805,Line#28,137.35,137.53,1203.00,-214.00,664.92,0.18,,,,,0,0,,,,
806,Line#28,137.53,139.56,1203.00,-214.00,663.82,2.03,,,,Rich ore,1,0,1.00,,,
807,Line#28,139.56,140.2,1203.00,-214.00,662.48,0.64,,,,,0,0,,,,
808,Line#28,140.2,143.65,1203.00,-214.00,660.43,3.45,,,,Rich ore,1,0,1.00,,,
809,Line#28,143.65,144.72,1203.00,-214.00,658.17,1.07,,,,,0,0,,,,
810,Line#28,144.72,145.25,1203.00,-214.00,657.38,0.53,,,,Rich ore,1,0,1.00,,,
811,Line#28,145.25,152.35,1203.00,-214.00,653.56,7.1,,,,Poor ore,0,1,0.00,,,
812,Line#28,152.35,155.4,1203.00,-214.00,648.49,3.05,,,,,0,0,,,,
813,Line#28,155.4,168.26,1203.00,-214.00,640.53,12.86,,,,Poor ore,0,1,0.00,,,
814,Line#29,0,1.15,1797.00,967.00,724.18,1.15,,,,Rich ore,1,0,1.00,,,
815,Line#29,1.15,1.55,1797.00,967.00,723.41,0.4,,,,,0,0,,,,
816,Line#29,1.55,1.87,1797.00,967.00,723.05,0.32,,,,Rich ore,1,0,1.00,,,
817,Line#29,1.87,2.47,1797.00,967.00,722.59,0.6,,,,,0,0,,,,
818,Line#29,2.47,16.79,1797.00,967.00,715.13,14.32,0.64,66.44,-0.15,Rich ore,1,0,1.00,0.07,0.16,0.26
819,Line#29,16.79,17.31,1797.00,967.00,707.71,0.52,,,,,0,0,,,,
820,Line#29,17.31,17.91,1797.00,967.00,707.15,0.6,,,,Rich ore,1,0,1.00,,,
821,Line#29,17.91,18.81,1797.00,967.00,706.40,0.9,,,,,0,0,,,,
822,Line#29,18.81,19.36,1797.00,967.00,705.67,0.55,,,,Rich ore,1,0,1.00,,,
823,Line#29,19.36,20.31,1797.00,967.00,704.92,0.95,,,,,0,0,,,,
824,Line#29,20.31,28.45,1797.00,967.00,700.38,8.14,0.13,68.13,1.12,Rich ore,1,0,1.00,0.28,0.01,0.76
825,Line#29,28.45,28.85,1797.00,967.00,696.11,0.4,,,,,0,0,,,,
826,Line#29,28.85,37.04,1797.00,967.00,691.81,8.19,0.21,68.22,1.27,Rich ore,1,0,1.00,0.07,0.01,0.91
827,Line#29,37.04,37.68,1797.00,967.00,687.40,0.64,,,,,0,0,,,,
828,Line#29,37.68,41.49,1797.00,967.00,685.17,3.81,,,,Rich ore,1,0,1.00,,,
829,Line#29,41.49,41.56,1797.00,967.00,683.24,0.07,,,,,0,0,,,,
830,Line#29,41.56,41.75,1797.00,967.00,683.11,0.19,,,,Rich ore,1,0,1.00,,,
831,Line#29,41.75,41.93,1797.00,967.00,682.92,0.18,,,,,0,0,,,,
832,Line#29,41.93,48.74,1797.00,967.00,679.42,6.81,,,,Rich ore,1,0,1.00,,,
833,Line#29,48.74,53.34,1797.00,967.00,673.72,4.6,,,,Poor ore,0,1,0.00,,,
834,Line#29,53.34,54.16,1797.00,967.00,671.01,0.82,,,,,0,0,,,,
835,Line#29,54.16,56.2,1797.00,967.00,669.58,2.04,,,,Poor ore,0,1,0.00,,,
836,Line#29,56.2,57.15,1797.00,967.00,668.09,0.95,,,,,0,0,,,,
837,Line#29,57.15,62.2,1797.00,967.00,665.09,5.05,,,,Poor ore,0,1,0.00,,,
838,Line#29,62.2,63.68,1797.00,967.00,661.82,1.48,,,,,0,0,,,,
839,Line#29,63.68,64.23,1797.00,967.00,660.80,0.55,,,,Rich ore,1,0,1.00,,,
840,Line#29,64.23,65.12,1797.00,967.00,660.08,0.89,,,,,0,0,,,,
841,Line#29,65.12,68.82,1797.00,967.00,657.79,3.7,,,,Rich ore,1,0,1.00,,,
